,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
232,1347,156333,455996,41466
233,0,35242,0,41466
234,0,0,0,41466
235,3739195,5713843,3335165,41466
236,2393438,1753348,1488002,42609
237,2178304,1488405,5387319,42609
238,1450980,2206767,3761583,42609
239,2074206,2493761,2126746,42609
240,1119245,2369657,1711404,42609
241,1229448,1042585,926713,42609
242,1188937,657056,5006963,42609
243,620291,560158,3793676,42609
244,672585,47288,877433,42609
245,610107,1383671,2036450,42609
246,866060,861559,4006817,42609
247,272760,98076,661454,42609
248,199421,110294,920954,42609
249,182664,5111,202285,42609
250,199262,417294,751807,42609
251,157173,720,0,42609
252,252900,0,791911,42609
253,98581,3504,206777,42609
254,60967,1337,94493,42609
255,14527,0,1287,42609
256,30882,27140,6405,42609
257,30428,13136,9729,57467
258,29606,15905,8489,57467
259,27921,9276,3868,42609
260,27667,82188,22126,57467
261,27457,13688,6119,42609
262,27229,37586,7744,42609
263,26825,15254,19762,42609
264,26050,6845,0,57467
265,25941,11569,3263,42609
266,25831,5469,1387,42609
267,25787,43044,1689,42609
268,25747,11060,3620,57467
269,25696,387760,424231,57467
270,25421,10960,1110,42609
271,25164,20785,20982,57467
272,24241,18331,2550,42609
273,23575,30329,11456,57467
274,23273,8369,413,57467
275,10124,5292,2825,42609
276,22671,14314,5152,57467
277,8281,2421,2244,42609
278,22130,22530,14215,42609
279,15058,7002,0,42609
280,8657,5419,2851,42609
281,21824,16746,3143,42609
282,21283,24525,0,57467
283,20993,1494,1369,42609
284,20547,5773,969,42609
285,20544,39675,16518,42609
286,20404,10619,4810,42609
287,20033,17100,3628,42609
288,19841,1585,680,42609
289,19718,6891,949,57467
290,19052,8888,7193,42609
291,5365,1621,1914,42609
292,18479,6932,1099,42609
293,18449,22530,2380,42609
294,18345,21977,7279,57467
295,18233,0,1785,42609
296,18175,5364,1340,42609
297,17950,7388,1608,42609
298,17821,5177,1904,42609
299,17657,0,6718,42609
300,17425,52373,3858,42609
301,17234,4072,1255,42609
302,17129,1509,1522,42609
303,16653,52921,5439,42609
304,16540,18496,9693,57467
305,16229,99920,23278,57467
306,16086,22225,2923,42609
307,15987,5307,0,42609
308,15767,6468,0,42609
309,15726,4053,1753,42609
310,15589,4029,330,42609
311,15394,23436,3993,42609
312,15256,16941,14110,57467
313,15023,4855,881,42609
314,14586,3172,1591,42609
